longitude,latitude,objectid,inckey,coldetkey,reportno,status,addrtype,intkey,location,exceptrsncode,exceptrsndesc,severitycode,severitydesc,collisiontype,personcount,pedcount,pedcylcount,vehcount,injuries,fatalities,incdate,incdttm,junctiontype,sdot_colcode,sdot_coldesc,inattentionind,underinfl,weather,roadcond,lightcond,pedrownotgrnt,sdotcolnum,speeding,st_colcode,st_coldesc,seglanekey,crosswalkkey,hitparkedcar,seriousinjuries
-122.329077497112,47.5714208655885,2148,309472,310752,3578703,Matched,Intersection,32342.0,4TH AVE S AND S SPOKANE SR ST, ,,2,Injury Collision,Angles,4,0,0,4,1,0,2019-01-03 00:00:00+00,1/3/2019 9:22:00 AM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Raining,Wet,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.31191620917,47.6664282840811,1144,312789,314229,E879366,Matched,Intersection,26051.0,15TH AVE NE AND NE 52ND ST, ,,1,Property Damage Only Collision,Angles,6,0,0,2,0,0,2018-11-17 00:00:00+00,11/17/2018 9:56:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,10.0,Entering at angle,0,0,False,0
-122.303812281857,47.6742736227761,1264,313665,315125,3810230,Matched,Block,,RAVENNA AVE NE BETWEEN NE 62ND N ST AND NE 63RD ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,2018-12-28 00:00:00+00,12/28/2018 12:30:00 AM,,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,False,,Wet,Dark - Street Lights Off,,,,32.0,One parked--one moving,0,0,True,0
-122.350139982333,47.6297506148852,1631,312629,314069,E865102,Matched,Intersection,28845.0,HIGHLAND DR AND NOB HILL AVE N, ,,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,2018-11-26 00:00:00+00,11/26/2018 2:18:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Raining,Wet,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.33382164614,47.5452853480129,1734,312732,314172,E873533,Matched,Block,,1ST AV S BR NB BETWEEN EAST MARGINAL WAY S AND 1ST AV S NB OFF RP, ,,2,Injury Collision,Other,1,0,0,1,1,0,2018-12-11 00:00:00+00,12/11/2018 1:28:00 PM,Mid-Block (not related to intersection),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,False,Raining,Wet,Daylight,,,True,50.0,Fixed object,0,0,False,0
-122.354677578772,47.6776682609726,195636,265357,266157,3705689,Matched,Intersection,24351.0,PHINNEY AVE N AND N 67TH S ST, ,,2,Injury Collision,,2,0,1,1,1,0,2018-01-09 00:00:00+00,1/9/2018 10:13:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,False,Raining,Wet,Daylight,,,,,,4288,0,False,0
-122.322173977653,47.5452250391799,195145,269017,269817,E763666,Matched,Block,,CORSON AVE S BETWEEN S EDDY ST AND S WARSAW ST, ,,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,2018-01-24 00:00:00+00,1/24/2018 10:57:00 AM,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Raining,Wet,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.343493771711,47.6139361067601,195477,264223,265003,3753777,Matched,Intersection,29547.0,3RD AVE AND BLANCHARD ST, ,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,2018-01-07 00:00:00+00,1/7/2018 3:32:00 PM,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,False,Raining,Wet,Daylight,True,,,2.0,Vehicle turning left hits pedestrian,0,521585,False,0
-122.302385900931,47.5829434796673,195936,265404,266204,3818399,Matched,Intersection,31580.0,24TH AVE S AND S COLLEGE ST, ,,2,Injury Collision,Pedestrian,2,0,1,1,1,0,2018-01-10 00:00:00+00,1/10/2018 7:16:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,True,False,Overcast,Dry,Dawn,,,,5.0,Vehicle Strikes Pedalcyclist,0,0,False,0
-122.323641157932,47.6060183966882,197826,272566,273406,E772291,Matched,Intersection,29815.0,JAMES ST AND TERRY AVE, ,,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,2018-02-23 00:00:00+00,2/23/2018 12:56:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Overcast,Wet,Daylight,,,,10.0,Entering at angle,0,0,False,0
-122.346023663366,47.7036067606408,199236,276907,277767,3642186,Matched,Block,,N 103RD ST BETWEEN LINDEN AVE N AND AURORA N AVE N, ,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,2018-03-01 00:00:00+00,3/1/2018 6:35:00 AM,Driveway Junction,28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,False,Overcast,Dry,,,,,50.0,Fixed object,0,0,False,0
-122.334762317446,47.5254167310125,199308,285765,286625,E784267,Matched,Block,,1ST AVE S BETWEEN S CLOVERDALE W ST AND 1ST AVS OFF S RP, ,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,2018-03-24 00:00:00+00,3/24/2018 7:46:00 PM,Mid-Block (not related to intersection),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,True,Overcast,Dry,Dark - Street Lights On,,,,50.0,Fixed object,0,0,False,0
